#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
108,,Ardbeg 1973 RWD?20th anniversary,,57.0 % Vol.,750 ml,94.25,32,
109,,Port Ellen 1969 GM?Celtic Label,15,64.7 % Vol.,750 ml,94.24,48,
110,,Glenfarclas 1954?The Family Casks,53,52.6 % Vol.,700 ml,94.23,43,
111,,Highland Park 1958,40,44.0 % Vol.,700 ml,94.23,34,
112,,Springbank 1966?Local Barley,30,51.8 % Vol.,750 ml,94.19,18,
113,,Macallan 1940?The Malt,,43.0 % Vol.,750 ml,94.19,18,
114,,Ardbeg 1974 RWD,15,57.0 % Vol.,750 ml,94.18,48,
115,,Macallan 1946?Fine & Rare,56,44.3 % Vol.,700 ml,94.17,15,
116,,Glenfarclas 1953?Single Cask,58,47.2 % Vol.,700 ml,94.17,31,
117,,Macallan Private Eye,,40.0 % Vol.,700 ml,94.17,38,
118,,Ardbeg 1974 Provenance?2nd Release,23,54.7 % Vol.,750 ml,94.15,62,
119,,Macallan 1972?The Anniversary Malt,25,43.0 % Vol.,700 ml,94.15,36,
120,,Caol Ila 1968 RWD?Full proof,,57.0 % Vol.,750 ml,94.14,51,
121,,Bowmore 1968 TS?Selection,37,41.5 % Vol.,700 ml,94.14,24,
122,,Mortlach 1938 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,700 ml,94.14,26,
123,,Macallan 1938?The Malt,,43.0 % Vol.,750 ml,94.14,16,
124,,Glendronach 1968?Recherch?,44,48.6 % Vol.,700 ml,94.13,56,
125,,Ardbeg 1974 Provenance?3rd Release,25,55.0 % Vol.,750 ml,94.13,63,
126,,Glenfarclas 1956?The Family Casks,50,47.3 % Vol.,700 ml,94.12,27,
127,,Glenfarclas 1958 SV?10th Anniversary 1988-1998 of Signatory,40,52.8 % Vol.,700 ml,94.12,60,
128,,Macallan 1966 GM?Speymalt,48,43.0 % Vol.,700 ml,94.12,24,
129,,Ardbeg 1974?Manager's Choice,,46.7 % Vol.,700 ml,94.11,21,
130,,Dalmore 40-year-old?Rare & Prestige,40,40.0 % Vol.,750 ml,94.11,37,
131,,Macallan 1955?Rinaldi Import,15,45.85 % Vol.,750 ml,94.11,21,
132,,Bowmore 1964 Black,42,40.5 % Vol.,700 ml,94.09,95,
133,,Mortlach 1962 RWD,25,46.0 % Vol.,750 ml,94.08,54,
134,,Mortlach 1938 GM?Crystal Decanter,60,40.0 % Vol.,700 ml,94.08,17,
135,,Bowmore 1968?Vintage Distillation,37,43.4 % Vol.,700 ml,94.08,55,
136,,Dalmore 40-year-old,40,40.0 % Vol.,700 ml,94.08,39,
137,,Aultmore 1973 RWD,,58.0 % Vol.,750 ml,94.08,15,
138,,Macallan 1945 GM?Speymalt,,45.1 % Vol.,700 ml,94.08,15,
139,,Springbank 1966?Local Barley,32,56.9 % Vol.,700 ml,94.07,30,
140,,Bowmore 1966 HB?Finest Collection,36,40.0 % Vol.,700 ml,94.07,58,
141,,Bowmore 1966 DT?Rare Auld,40,43.2 % Vol.,700 ml,94.06,34,
142,,Brora 1972 DL?Old & Rare - The Platinum Selection,31,49.3 % Vol.,700 ml,94.06,98,
143,,Springbank 1965 CA?Authentic Collection,31,50.5 % Vol.,700 ml,94.06,38,
144,,Glenfarclas 1958?The Family Casks (Release X),,43.7 % Vol.,700 ml,94.04,28,
145,,Bowmore 1964 Bourbon?The Trilogy Series,38,43.2 % Vol.,700 ml,94.04,28,
146,,Ardbeg 1976,,53.5 % Vol.,700 ml,94.03,77,
147,,Ardbeg 1976,,52.4 % Vol.,700 ml,94.03,150,
148,,Ardbeg 1973 Kb?Celtic Series,27,47.4 % Vol.,700 ml,94.02,69,
149,,Glenugie 1966 RWD,,55.0 % Vol.,750 ml,94,41,
150,,Bowmore 1966 DT?Peerless,36,45.3 % Vol.,700 ml,94,17,
151,,Mortlach 1939 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,750 ml,94,25,
152,,Springbank 1966?Local Barley,,52.0 % Vol.,700 ml,94,23,
153,,Macallan 40-year-old,40,45.0 % Vol.,700 ml,94,28,
154,,Dalmore 45-year-old Aurora?Rare & Prestige,45,45.0 % Vol.,700 ml,94,17,
155,,Ardbeg 1974,,53.5 % Vol.,700 ml,94,23,
156,,Springbank 1964 Private Bottling?Lateltin Lanz Ingold 100th Anniversary,,46.0 % Vol.,700 ml,94,44,
157,,Glendronach 1972?Single Cask,38,49.5 % Vol.,700 ml,94,25,
158,,Mortlach 1939 GM Generations?Crystal Decanter,75,44.4 % Vol.,700 ml,94,27,
159,,Ardbeg 1974 RWD,,59.0 % Vol.,750 ml,93.98,57,
160,,Highland Park 1967 DT?John Scott's,42,50.3 % Vol.,700 ml,93.98,63,
161,,Brora 1972?Rare Malts Selection,22,61.1 % Vol.,700 ml,93.98,67,
162,,Ardbeg 1973 Sa?Fragments of Scotland,,57.0 % Vol.,750 ml,93.97,37,
163,,Brora 1972 DL?Old & Rare - The Platinum Selection,30,49.7 % Vol.,700 ml,93.96,55,
164,,Bowmore 1966 DT?Rare Auld,40,43.9 % Vol.,700 ml,93.95,45,
165,,Ardbeg 1974,,54.1 % Vol.,700 ml,93.95,24,
166,,Macallan 1971 Sa,,46.0 % Vol.,700 ml,93.95,23,
167,,Highland Park 1967 DT?John Scott's,40,47.1 % Vol.,700 ml,93.94,68,
168,,Glendronach 1972?Single Cask - Batch 9,41,51.7 % Vol.,700 ml,93.94,144,
169,,MacPhail's 1937 GM,50,40.0 % Vol.,50 ml,93.94,19,
170,,Bowmore 1965?Islay Pure Malt,,57.8 % Vol.,750 ml,93.94,21,
171,,Glenfarclas 1954?The Family Casks (Release S14),59,46.7 % Vol.,700 ml,93.94,19,
172,,Springbank 1965 Sa?Ageing Monography,23,50.0 % Vol.,750 ml,93.94,19,
173,,Mortlach 1936 GM?Rare Old Highland Malt,,40.0 % Vol.,750 ml,93.94,18,
